,TOI,bv,bv_err,li,prot,rhk,teff
88,190.01,0.5473333597183228,0.1,,10.02165,,6021.396014648437
89,191.01,0.762666662534078,0.04197089917135618,,7.25682086766561,,5570.854
90,192.01,1.0026666522026062,0.13089775276952517,,3.922177415258789,,4840.237373560855
91,193.01,0.6430000066757202,0.1,,,,5309.333333333333
92,194.01,0.5649999976158142,0.1,,4.511708628571428,,5979.517619047619
93,195.01,0.6973333358764648,0.1,,2.0782559717712403,,5662.181875
94,196.01,0.4248332977294922,0.0017716896254569292,,,,6607.322176470589
95,197.01,0.8770000338554382,0.053853705525398254,,,,5048.683454545454
96,198.01,1.5099999904632568,0.1,,,,3933.815
97,199.01,0.8294999599456787,0.1,,,,5216.146363636363
98,200.01,0.735647052456351,0.04814552743307293,108.10749816894531,5.475000190734863,-4.090000152587891,5482.444615384616
