LAMOST,ObsID,Gaia,RAJ2000_x,DEJ2000_x,S_N,RVel,Teff_x,logg_x,__Fe_H_,A_Li_,DelA_Li_,e_DelA_Li_,Flag,Lim,DR7,Simbad,angDist,TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source_1,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments,ra_deg,dec_deg,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source_2,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff_y,b_Teff,B_Teff,logg_y,b_logg,B_logg,[Fe/H],b_[Fe/H],B_[Fe/H],Dist,b_Dist,B_Dist,A0,b_A0,B_A0,AG,b_AG,B_AG,E(BP-RP),b_E(BP-RP),B_E(BP-RP),Lib,RAJ2000_y,DEJ2000_y,e_RAJ2000,e_DEJ2000,RADEcorJ2000,GaiaDR3
J114034.81+283258.4,787105213,4019074230586116608,11 40 34.82,+28 32 58.5,48,-2,5451,4.38,0.2,2.0,0.2,0.1,1,0,8,Simbad,0.009825,165468291,3871.01,,3,4,4,3,4,4,4,31.9,107.9,90.56,4,3,4,PC,PC,12.3591,0.007,,1,qlp-s49-tois,FAINT,11:40:34.82,28:32:58.49,-22.65,0.071,1.667,0.073,2459662.673642,0.0008742,4.754432,7.6e-06,2.147,0.346,14.350133,0.011771,13130.0,10.8417,11.4372,0.656093,158.463,988.0,49.0,353.347,8.288,5491.7,97.5,4.47,0.07,0.94,0.05,0.232599,0.0225256,0.96,0.123651,"22,49",2021-06-23,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,175.1450833333333,28.54958055555556,Gaia DR3 4019074230586116608,175.1450804248,28.54957959601,0.0,0.0,82,1636148068921376768,4019074230586116608,385867978,0.0167,0.0146,2.667,0.0191,139.7384,22.809,-22.731,0.018,1.887,0.017,0.0379,-0.405,0.1114,0.2061,-0.2371,0.1718,0.0296,-0.0346,-0.138,-0.0265,202,158,202,0,0.9512,346.46,0.089,6.5237,31,1,1.533,,,,,,,,23,15,0.025752,24,0.0351,92.02,1,0,1.047,0,199,138472.2552,45.7435,3027.15,12.83396,0.002779,23,71209.4,57.7239,1233.62,13.207199,0.002926,21,95607.9,50.9995,1874.68,12.29666,0.003823,1.205,0.0,1.0,0.0,0.0,0,0.910539,0.37324,0.537299,-0.8,1.86,2.0,11.0,1.0,11.0,11.558,,,943.956,,5500.0,4.5,0.25,222.0,,,,12.115746,0.052475,10.0,,NOT_AVAILABLE,0.0,0.0,0.99987,5440.8,5433.9,5451.1,4.4047,4.3992,4.4101,0.0945,0.0867,0.1036,364.9437,362.0829,368.3089,0.0196,0.0144,0.027,0.0161,0.0118,0.0222,0.0085,0.0062,0.0118,MARCS,175.14519543702,28.54957120778,0.292877,0.266569,-0.0477,4019074230586116608
J043700.11+493653.6,861806067,258589024435858048,04 37 00.11,+49 36 53.7,59,5,6463,4.13,0.07,2.6,0.2,0.1,1,0,38,Simbad,0.013761,274472658,6369.01,,3,4,3,3,3,4,4,6.9,35.2,44.11,1,2,1,PC,PC,11.4974,0.006,,1,qlp-s59-faintsearch,FAINT,04:37:00.13,49:36:53.5,8.466,0.054,-12.59,0.036,2459934.394703,0.006208,13.2329062,0.0001712,6.245,1.145,3.263193,0.175485,3001.0,161.615,7.5049,1.62974,295.457,1155.0,21.0,445.311,7.918,6461.3,121.6,4.11,0.19,1.67,0.35,0.072,0.067,1.313,0.199147,"19,59",2023-05-03,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,69.25054166666666,49.61486111111111,Gaia DR3 258589024435858048,69.25053663793,49.61485911239,0.0,0.0,86,1636148068921376768,258589024435858048,907768104,0.0103,0.0067,2.2514,0.0134,168.165,15.143,8.334,0.013,-12.643,0.01,0.0664,0.2978,0.0759,0.3175,0.0135,0.2881,0.0983,-0.061,0.078,-0.0694,412,412,408,4,-3.4157,506.27,0.041,2.5179,31,1,1.462,,,,,,,,47,21,0.018702,54,0.02026,166.1,0,0,0.881,0,447,259546.36066,41.1323,6310.03,12.15183,0.002761,53,112523.0,64.3896,1747.53,12.710441,0.002859,52,211211.0,62.8679,3359.6,11.436106,0.003793,1.247,0.0,0.0,0.0,0.0,0,1.274335,0.558611,0.715724,10.05,0.63,1.0,31.0,5.0,20.0,49.069,0.51209,0.598145,796.942,13.48,6500.0,4.0,0.0,222.0,18.8184,13.359,25.0,11.142212,0.009149,25.0,,NOT_AVAILABLE,0.0,0.0,0.99998,,,,,,,,,,,,,,,,,,,,,,,69.2504794685,49.61491530289,0.213869,0.158052,-0.0974,258589024435858048
J142224.53+552002.9,641003082,1608884685974411776,14 22 24.53,+55 20 03.0,91,-31,5011,4.75,-0.12,0.7,6.5,3.0,1,1,14,Simbad,0.084087,154383539,1436.01,,2,5,5,2,4,4,4,3.6,5.3,2.64,3,12,4,PC,PC,11.0906,0.006,,1,spoc-s14-s50-b0A-PC,SPOC,14:22:24.52,55:20:03.33,-39.877,0.043,135.926,0.042,2459690.565813,0.0038005,0.867588348400582,1.15195235e-05,1.38149534569689,0.29119006,0.349103,0.037866,321.48409325254,34.87502,1.43024233396102,1.0788049,1118.05899808334,1474.8095115343,10.646988,131.601,0.4555,5011.22,102.681,4.6136,0.0774824,0.745239973068237,0.0389146,-0.139143,0.0288309,0.832,0.0956565,"15,16,22,23,49,50",2019-11-14,2022-12-12,2022-12-16 12:08:26,L1 candidate,215.60216666666665,55.33425833333334,Gaia DR3 1608884685974411776,215.602145241,55.33427825981,0.0,0.0,45,1636148068921376768,1608884685974411776,342391511,0.0096,0.0096,7.6219,0.0109,700.7737,141.708,-39.748,0.012,136.019,0.012,0.0973,-0.0778,-0.0193,0.1853,-0.1187,0.1874,0.0443,-0.1535,-0.1945,0.11,398,398,397,1,-2.3225,853.06,0.079,9.3036,31,1,1.496,,,,,,,,46,28,0.017165,63,0.03676,157.1,0,0,0.917,0,495,411401.52467,54.5772,7537.97,11.651702,0.002759,56,194843.0,109.502,1779.36,12.114329,0.002856,55,307893.0,111.706,2756.28,11.026895,0.0038,1.222,0.0,0.0,0.0,0.0,0,1.087435,0.462627,0.624807,-22.24,0.42,1.0,28.0,4.0,22.0,53.861,-0.31398,0.532623,994.938,8.39,5000.0,4.5,0.0,444.0,,,,10.789513,0.008379,20.0,,NOT_AVAILABLE,0.0,0.0,0.99885,4966.4,4960.8,4972.5,4.5649,4.5631,4.5666,-0.1493,-0.1558,-0.1429,130.4761,130.2802,130.6711,0.0448,0.0396,0.0504,0.0358,0.0316,0.0402,0.019,0.0167,0.0213,MARCS,215.60245582293,55.33367373189,0.184853,0.186518,0.0909,1608884685974411776
J121951.87+550956.6,719103248,1572801222611587840,12 19 51.88,+55 09 56.6,76,-21,4372,4.53,0.09,0.1,0.3,0.1,0,1,8,Simbad,0.076565,224297408,5733.01,,2,4,2,2,4,4,4,3.1,35.9,8.44,0,4,4,PC,PC,10.968,0.006,,1,spoc-s14-s50-b02,SPOC,12:19:51.88,55:09:56.61,-107.423,0.036,20.219,0.034,2458711.606063,0.002087998,8.27516069666908,3.624499e-05,2.15103502587355,0.37821683,1.101321,0.101175,1013.84027308093,93.18137,2.83507791559445,1.1437123,46.1271122190342,664.674191848128,10.2224,102.462,0.2495,4388.89,106.334,4.43387,0.0873239,0.832265019416809,0.0604347,0.087917,0.0316222,0.686,0.0801726,"15,22,48,49",2022-08-18,2022-08-18,2024-02-15 00:00:00,Low SNR,184.96616666666665,55.165725,Gaia DR3 1572801222611587840,184.96612960547,55.16572704599,0.0,0.0,37,1636148068921376768,1572801222611587840,946739340,0.0093,0.0098,9.7507,0.0132,737.0463,109.256,-107.349,0.011,20.327,0.012,0.1841,-0.1573,-0.1313,-0.038,-0.135,-0.099,0.1889,0.1332,-0.2709,0.1258,533,533,530,3,2.6186,1391.5,0.101,16.362,31,1,1.442,,,,,,,,60,30,0.0178,67,0.004016,152.1,0,0,1.081,0,548,412666.54455,91.4876,4510.63,11.648369,0.002766,61,169890.0,105.534,1609.81,12.26312,0.002871,61,345081.0,157.807,2186.73,10.903092,0.003812,1.248,0.0,0.0,0.0,0.0,0,1.360027,0.614751,0.745276,-15.74,0.34,1.0,31.0,4.0,22.0,67.83,0.55768,0.194958,962.079,5.6,4500.0,4.5,0.0,222.0,,,,10.618137,0.009072,24.0,,NOT_AVAILABLE,0.0,0.0,0.999866,4599.5,4568.8,4604.6,4.5888,4.573,4.592,0.471,0.3565,0.5123,102.2727,101.9959,103.176,0.1489,0.1282,0.157,0.1137,0.098,0.12,0.0592,0.0512,0.0626,MARCS,184.96696486214,55.16563670177,0.180799,0.196594,0.1331,1572801222611587840
J084840.77+202718.2,624303110,661598415839633024,08 48 40.77,+20 27 18.3,77,-16,4788,4.7,-0.02,1.1,0.0,0.0,2,0,24,Simbad,0.015633,332022997,5123.01,,5,5,5,5,5,5,5,3.1,33.8,4.77,0,1,8,KP,KP,11.1983,0.006,,1,qlp-s45-ffi,QLP,08:48:40.77,20:27:18.06,-4.872,0.074,-15.641,0.044,2459550.358225,0.0028752,3.2809598,4.7e-06,1.897,0.098,0.814608,0.000578,750.0,0.532744,2.03745,0.134005,126.314,933.0,20.0,123.438,0.71,4783.6,103.0,4.59,0.08,0.74,0.04,-0.023,0.026,0.772,0.0891363,"44,45",2022-02-08,2022-02-08,2022-12-14 12:09:24,K2-275 b,132.169875,20.455016666666666,Gaia DR3 661598415839633024,132.16987876314,20.45501413202,0.0,0.0,99,1636148068921376768,661598415839633024,456290360,0.017,0.0087,8.0632,0.0198,406.2202,16.31,-5.005,0.021,-15.523,0.014,-0.241,-0.2425,-0.2023,0.2222,0.0727,0.1525,-0.0511,0.4053,-0.2491,-0.2805,400,400,397,3,5.5831,1191.2,0.108,18.505,31,1,1.473,,,,,,,,45,19,0.031282,50,0.02479,115.8,0,0,1.205,0,424,356213.10102,244.01,1459.83,11.808092,0.002854,46,159919.0,324.418,492.941,12.328792,0.003555,46,279452.0,410.809,680.248,11.132129,0.004103,1.233,0.0,0.0,0.0,0.0,0,1.196663,0.5207,0.675963,-8.0,0.46,1.0,26.0,4.0,17.0,52.884,0.64422,0.154687,968.06,8.7,4750.0,4.5,0.0,222.0,,,,10.863643,0.010849,19.0,,NOT_AVAILABLE,0.0,0.0,0.999527,4802.9,4796.8,4807.4,4.5772,4.5757,4.5786,-0.0121,-0.0184,-0.0067,121.8474,121.5879,122.1978,0.0952,0.0896,0.0999,0.0748,0.0703,0.0785,0.0394,0.037,0.0414,MARCS,132.16990250227,20.45508312508,0.342714,0.2313,-0.2937,661598415839633024
J084840.77+202718.2,624303110,661598415839633024,08 48 40.77,+20 27 18.3,77,-16,4788,4.7,-0.02,1.1,0.0,0.0,2,0,24,Simbad,0.015633,332022997,5123.02,,5,5,5,5,5,5,5,2.1,30.3,6.23,0,1,8,KP,KP,11.1983,0.006,,2,qlp-s46-ffi,QLP,08:48:40.77,20:27:18.06,-4.872,0.074,-15.641,0.044,2459572.871765,0.0019385,8.4388359,8.8e-06,2.129,0.193,1.021072,0.000514,940.0,0.473828,2.38569,0.151464,25.215,624.0,17.0,123.438,0.71,4783.6,103.0,4.59,0.08,0.74,0.04,-0.023,0.026,0.772,0.0891363,"44,45,46",2022-01-25,2022-02-07,2022-12-14 12:09:24,K2-275 c,132.169875,20.455016666666666,Gaia DR3 661598415839633024,132.16987876314,20.45501413202,0.0,0.0,99,1636148068921376768,661598415839633024,456290360,0.017,0.0087,8.0632,0.0198,406.2202,16.31,-5.005,0.021,-15.523,0.014,-0.241,-0.2425,-0.2023,0.2222,0.0727,0.1525,-0.0511,0.4053,-0.2491,-0.2805,400,400,397,3,5.5831,1191.2,0.108,18.505,31,1,1.473,,,,,,,,45,19,0.031282,50,0.02479,115.8,0,0,1.205,0,424,356213.10102,244.01,1459.83,11.808092,0.002854,46,159919.0,324.418,492.941,12.328792,0.003555,46,279452.0,410.809,680.248,11.132129,0.004103,1.233,0.0,0.0,0.0,0.0,0,1.196663,0.5207,0.675963,-8.0,0.46,1.0,26.0,4.0,17.0,52.884,0.64422,0.154687,968.06,8.7,4750.0,4.5,0.0,222.0,,,,10.863643,0.010849,19.0,,NOT_AVAILABLE,0.0,0.0,0.999527,4802.9,4796.8,4807.4,4.5772,4.5757,4.5786,-0.0121,-0.0184,-0.0067,121.8474,121.5879,122.1978,0.0952,0.0896,0.0999,0.0748,0.0703,0.0785,0.0394,0.037,0.0414,MARCS,132.16990250227,20.45508312508,0.342714,0.2313,-0.2937,661598415839633024
J072308.44+253331.5,608202221,870284314042482048,07 23 08.45,+25 33 31.6,69,-11,5400,3.24,0.03,1.8,0.0,0.0,1,1,24,Simbad,0.03256,26693519,5114.01,,3,4,3,3,4,4,4,,,317.0,0,2,4,PC,PC,10.0643,0.006,,1,qlp-s72-ffi,QLP,07:23:08.45,25:33:31.51,2.2,2.4,-6.3,2.4,2460280.731884,0.0017529,6.1539077,1.82e-05,2.115,0.493,1.777719,0.13273,1636.0,122.241,22.3615,1.27753,114.033,910.0,26.0,,,5234.4,178.8,,,5.63,0.18,-0.065255,0.0149052,,,"44,45,46,71,72",2022-01-25,2024-02-01,2024-02-01 00:00:00,evolved host; possibly too large; Rstar ~ 5.6 Rsun in TIC 8,110.78520833333332,25.55875277777778,Gaia DR3 870284314042482048,110.78519832209,25.55875229701,0.0,0.0,148,1636148068921376768,870284314042482048,781934929,0.1089,0.1126,0.4456,0.162,2.7507,5.856,2.153,0.14,-5.446,0.116,-0.0697,0.0805,0.0386,0.1677,-0.6268,-0.0835,-0.2402,0.3095,0.3982,0.1547,155,155,155,0,66.8512,13119.0,0.82,599.51,31,0,1.5,,,,,,,,18,13,0.208058,20,0.03958,62.46,51,0,6.75,0,154,1038329.64213,2372.49,437.654,10.646529,0.003708,14,511634.0,491.683,1040.58,11.066144,0.002979,17,793079.0,419.995,1888.31,9.999604,0.003823,1.257,0.0,0.0,0.0,0.0,0,1.06654,0.419615,0.646925,-1.64,0.41,1.0,10.0,0.0,10.0,64.278,1.7965,0.011574,947.49,3.22,5500.0,3.0,0.0,222.0,8.5046,1.2983,9.0,9.755507,0.005697,10.0,,NOT_AVAILABLE,0.0,0.0,0.999625,5228.0,5216.9,5238.4,3.1549,3.1248,3.1818,-0.0767,-0.0815,-0.0717,643.5557,622.8548,666.9169,0.2339,0.2251,0.242,0.1888,0.1817,0.1954,0.1002,0.0964,0.1037,MARCS,110.78518771751,25.5587765,2.233066,1.893314,0.149,870284314042482048
J070114.00+410746.8,622906184,950909165244663168,07 01 14.00,+41 07 46.9,79,4,6812,4.25,-0.34,2.8,0.2,0.1,2,0,28,Simbad,0.008461,98833877,5577.01,,3,4,3,3,3,4,4,42.8,130.6,51.64,1,2,3,PC,PC,11.1947,0.007,,1,qlp-s47-faintsearch,FAINT,07:01:14,41:07:46.89,-2.291,0.074,0.974,0.064,2459606.67024,0.0009676,0.358558,7e-07,0.274,0.065,1.042807,0.01914,960.0,17.6282,8.24018,0.877154,948.501,1546.0,14.0,508.394,13.054,6813.5,138.9,4.16,0.09,1.67,0.09,-0.355464,0.00739973,1.47,0.253543,"20,47",2022-05-17,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,105.30833333333332,41.129691666666666,Gaia DR3 950909165244663168,105.3083363093,41.12969095983,0.0,0.0,51,1636148068921376768,950909165244663168,550916478,0.0255,0.0253,2.0661,0.0349,59.181,2.175,-1.99,0.029,0.878,0.024,0.0289,-0.1948,-0.1481,0.2971,-0.5,0.0414,-0.2224,0.4085,0.0374,-0.0598,210,210,208,2,7.375,1402.4,0.204,56.254,31,1,1.607,,,,,,,,24,15,0.042904,26,0.01973,177.6,0,0,1.386,0,204,469544.67665,113.639,4131.89,11.508175,0.002768,24,277502.0,258.758,1072.44,11.730376,0.002968,24,280057.0,141.318,1981.75,11.129778,0.003819,1.187,0.0,0.0,0.0,0.0,0,0.600598,0.222201,0.378397,10.68,2.35,1.0,13.0,1.0,10.0,32.41,-0.098444,0.599194,955.755,20.38,7000.0,4.5,-0.25,555.0,67.9077,32.9646,10.0,10.955576,0.028967,11.0,,NOT_AVAILABLE,0.0,0.0,0.999874,6969.8,6957.9,6980.1,4.1611,4.1454,4.1723,-0.6545,-0.6664,-0.6404,435.5185,427.8289,446.1982,0.3151,0.3097,0.3196,0.2783,0.2735,0.2823,0.1504,0.1477,0.1526,A,105.30834804878,41.12968705797,0.475302,0.3838,-0.0766,950909165244663168
J063935.56+420752.8,886007028,958011112711303552,06 39 35.57,+42 07 52.8,73,31,4686,4.59,0.29,0.8,0.2,0.1,1,0,0,Simbad,0.055362,274215536,1701.01,,3,4,4,3,4,4,4,31.9,117.1,21.7,11,16,8,PC,PC,10.9263,0.006,,1,qlp,QLP,06:39:35.57,42:07:52.82,7.743,0.066,-53.417,0.059,2458843.37293,0.00208,1.33418,0.00021,1.115,0.308,2.685086,0.010226,2470.0,9.41862,4.94538,0.439061,470.116,1297.0,19.0,123.643,0.71,4685.1,111.6,4.42,0.09,0.88,0.06,0.287,0.052,0.747,0.0865692,20,2020-02-19,2020-02-19,2022-12-14 12:09:24,slightly v-shaped; small depth-aperture correlation,99.89820833333332,42.13133888888889,Gaia DR3 958011112711303552,99.89819004627,42.13133163849,0.0,0.0,112,1636148068921376768,958011112711303552,905073667,0.0137,0.0132,8.0755,0.0163,494.5894,53.934,7.725,0.017,-53.378,0.014,-0.0396,-0.0425,-0.1488,0.1448,-0.3613,0.1535,-0.3653,-0.0043,0.2294,0.0048,241,241,241,0,0.684,700.29,0.099,14.871,31,1,1.469,,,,,,,,27,15,0.023538,27,0.04107,6.652,0,0,1.03,0,223,452946.51625,86.557,5232.93,11.54725,0.002763,24,200701.0,208.476,962.706,12.082166,0.003009,23,356774.0,146.572,2434.12,10.866911,0.003806,1.231,0.0,0.0,0.0,0.0,0,1.215255,0.534916,0.680339,36.68,0.36,1.0,11.0,3.0,9.0,38.082,-0.8622,0.73972,975.333,2.84,4750.0,4.5,0.25,222.0,,,,10.611082,0.018431,8.0,,NOT_AVAILABLE,0.0,0.0,0.999832,4787.7,4785.9,4791.1,4.5313,4.5295,4.5327,0.2081,0.2031,0.2133,123.3467,123.0408,123.7599,0.0027,0.0006,0.0069,0.0021,0.0005,0.0054,0.0011,0.0002,0.0028,PHOENIX,99.89814375045,42.13156887588,0.271405,0.230488,-0.0114,958011112711303552
J024349.99+544649.5,788708155,454325218286020224,02 43 49.99,+54 46 49.5,86,-40,7325,3.9,0.1,2.9,0.0,0.0,1,0,0,Simbad,0.023132,264912889,3683.01,,3,4,3,3,3,4,4,107.1,152.6,317.0,9,2,1,PC,PC,11.4374,0.021,,1,qlp-s58-tois,FAINT,02:43:49.99,54:46:49.43,-0.574,0.058,-7.291,0.061,2459907.842783,0.0011187,1.3697115,2.4e-06,1.951,0.437,4.206681,4.597837,3867.0,4225.81,20.6045,5.85772,18782.0,3261.0,32.0,685.249,15.721,7321.3,132.5,3.99,0.09,2.15,0.12,0.102,0.017,1.66,0.283867,"18,58",2021-06-23,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,40.95829166666667,54.78039722222222,Gaia DR3 454325218286020224,40.95830275747,54.78039660853,0.0,0.0,23,1636148068921376768,454325218286020224,992790942,0.0084,0.0116,1.4363,0.014,102.397,7.379,-0.606,0.011,-7.354,0.016,0.3595,0.0761,-0.0089,0.0827,0.0786,0.0698,0.3431,0.0741,0.0075,0.3104,423,423,420,3,2.1112,1037.6,0.086,13.155,31,1,1.544,,,,,,,,50,21,0.023008,53,0.01342,77.65,0,0,1.073,0,442,332362.88646,59.9511,5543.9,11.883335,0.002762,50,174890.0,99.6213,1755.55,12.231631,0.002858,46,226256.0,77.0533,2936.36,11.361395,0.003797,1.207,0.0,3.0,0.0,0.0,0,0.870236,0.348296,0.52194,-32.71,2.44,1.0,24.0,7.0,16.0,41.692,3.1077,0.014145,931.368,43.81,6750.0,3.5,-0.25,555.0,85.0327,20.2713,14.0,11.134384,0.009402,14.0,,NOT_AVAILABLE,0.0,0.0,0.999989,7152.5,6714.4,7468.9,3.8378,3.7409,3.9386,-0.8505,-0.971,-0.6333,635.8131,568.3592,699.9896,1.0047,0.7924,1.1491,0.871,0.6793,1.0017,0.4724,0.3692,0.5423,MARCS,40.95830742924,54.78042929336,0.181748,0.246693,0.3083,454325218286020224
J185753.32+395442.5,591702044,2103392720630278656,18 57 53.32,+39 54 42.5,93,-48,5632,4.46,0.13,1.9,0.0,0.0,1,0,8,Simbad,0.008956,120255950,4584.01,,5,5,5,5,5,5,5,2.5,35.4,21.21,0,4,14,KP,KP,10.6114,0.006,,1,spoc-s14-s55-b0A-KP,SPOC,18:57:53.34,39:54:42.8,10.865,0.04,17.52,0.049,2459399.639202,0.0014361754,31.5786847112054,0.00017918501,2.12950550935654,0.47941405,2.30347,0.143613,2119.32566761632,132.26393,4.87433890720114,2.462469,27.0094646836455,581.4317504446,19.077679,185.875,0.831,5696.0,99.3593,4.40025,0.0686936,1.05177998542786,0.0430553,0.11,0.1,1.014,0.125475,"40,41,53,54",2021-11-01,2023-03-15,2023-03-24 12:12:10,Kepler-1656 b,284.47225,39.91188888888889,Gaia DR3 2103392720630278656,284.47224933443,39.91189132366,0.0,0.0,173,1636148068921376768,2103392720630278656,969333743,0.0082,0.0101,5.3174,0.0101,528.9638,20.477,10.957,0.011,17.299,0.013,-0.0474,0.0137,-0.0255,0.0481,0.0199,0.0312,-0.2345,-0.0978,0.0054,0.023,406,406,400,6,-6.3496,756.88,0.078,9.9058,31,0,1.547,,,,,,,,46,28,0.017846,50,0.01636,173.4,0,0,0.782,0,395,708443.40959,107.292,6602.93,11.061604,0.00276,45,375044.0,194.792,1925.35,11.403337,0.002847,44,475690.0,130.045,3657.89,10.554585,0.003791,1.201,0.0,3.0,0.0,0.0,0,0.848753,0.341734,0.507019,-38.94,0.27,1.0,24.0,2.0,21.0,67.751,-0.086449,0.567552,915.671,4.02,5750.0,4.5,0.25,222.0,,,,10.370966,0.011115,20.0,74.71143,NOT_AVAILABLE,0.0,0.0,0.999324,5711.3,5681.0,5756.3,4.3944,4.3773,4.4191,0.0753,0.0488,0.1187,186.1015,185.6422,186.6154,0.0866,0.0687,0.1135,0.0724,0.0573,0.0949,0.0386,0.0305,0.0506,MARCS,284.47218584714,39.91181444004,0.169211,0.206462,0.0187,2103392720630278656
J090526.75+214006.9,738207185,685235991691684352,09 05 26.76,+21 40 06.9,59,-19,3907,4.65,-0.1,-2.1,0.0,0.0,0,1,102,Simbad,0.022808,203289099,5111.01,,5,5,5,5,5,5,5,3.2,37.5,4.35,0,1,4,KP,KP,11.7538,0.007,,1,qlp-s72-ffi,QLP,09:05:26.76,21:40:06.92,14.473,0.08,-25.94,0.057,2460280.32405,0.0042669,3.3557219,6.6e-06,1.599,0.088,1.196054,0.026356,1101.0,24.2749,1.9149,0.0624086,37.2966,688.0,41.0,75.1691,0.30675,3807.0,157.0,4.68,0.01,0.56,0.02,,,0.555026,0.0204108,"44,45,46,72",2022-01-25,2024-02-01,2024-02-02 12:12:03,K2-344 b,136.36149999999998,21.66858888888889,Gaia DR3 685235991691684352,136.36149453559,21.66858510092,0.0,0.0,117,1636148068921376768,685235991691684352,723883140,0.0145,0.011,13.2466,0.0176,754.5707,29.658,14.532,0.018,-25.854,0.014,-0.3831,-0.2375,-0.1419,0.3385,0.139,0.2861,-0.3868,0.4353,-0.3357,-0.4074,262,236,259,3,0.2241,352.12,0.053,2.6306,31,1,1.349,,,,,,,,31,17,0.028008,36,0.06158,114.0,0,0,1.009,0,293,152534.42752,43.7922,3483.14,12.728948,0.002773,30,44823.0,39.8315,1125.32,13.709789,0.002952,31,158168.0,77.0888,2051.77,11.750096,0.003816,1.331,0.0,1.0,0.0,0.0,0,1.959693,0.980842,0.978851,-16.72,0.88,1.0,18.0,3.0,13.0,28.941,0.49073,0.410009,968.062,12.71,3900.0,4.5,0.0,440.0,,,,11.320524,0.015059,15.0,30.55492,NOT_AVAILABLE,0.0,0.0,0.997667,,,,,,,,,,,,,,,,,,,,,,,136.3614250382,21.66870000867,0.284921,0.227444,-0.4276,685235991691684352
