,toi,name,comment,harps_url
82,TOI2338,TYC7063-698-1,Slight depth aperture correlation; CTOI from Marco Montalto,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC7063-698-1_RVs/TYC7063-698-1_HARPS_RVBank_ver02_rvsonly.dat&run
83,TOI2328,TYC9361-870-1,,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC9361-870-1_RVs/TYC9361-870-1_HARPS_RVBank_ver02_rvsonly.dat&run
84,TOI2221,GJ803,AU Mic b; first transit matches expected ephemeris,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/GJ803_RVs/GJ803_HARPS_RVBank_ver02_rvsonly.dat&run
85,TOI2202,TOI-2202,TOI-2202 b / TOI 2202.01,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TOI-2202_RVs/TOI-2202_HARPS_RVBank_ver02_rvsonly.dat&run
86,TOI2199,TYC7971-310-1,WASP-182 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC7971-310-1_RVs/TYC7971-310-1_HARPS_RVBank_ver02_rvsonly.dat&run
87,TOI2197,HD197286,WASP-7 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD197286_RVs/HD197286_HARPS_RVBank_ver02_rvsonly.dat&run
88,TOI2196,TYC9325-163-1,low SNR,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC9325-163-1_RVs/TYC9325-163-1_HARPS_RVBank_ver02_rvsonly.dat&run
89,TOI2194,GJ1246,TOI-2194 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/GJ1246_RVs/GJ1246_HARPS_RVBank_ver02_rvsonly.dat&run
90,TOI2000,TYC8954-1014-1,TOI-2000 c; https://arxiv.org/abs/2209.14396,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC8954-1014-1_RVs/TYC8954-1014-1_HARPS_RVBank_ver02_rvsonly.dat&run
91,TOI1970,TYC8647-2057-1,possible secondary consistent with planet,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC8647-2057-1_RVs/TYC8647-2057-1_HARPS_RVBank_ver02_rvsonly.dat&run
